;COUNTRY;SORT_ART_NR;ART_NAME;URL;Supplier;Suppl. product code;EAN;COMPETITOR;SKU_ID;SORT_EAN_NR;ART_NAME;PACKAGE_PRICE;UNIT_PRICE;PROMO_PRICE;QTY_FACTOR_PACKAGE_PRICE;URL;MATCH_TYPE_FLAG;QLTY_FACTOR_PACKAGE_PRICE;MATCH_SOURCE;MATCH_OWNER;CRAWLING_TIMESTAMP;COMMENTS
58;CZ;108651;Dulux Easy Care Lahodně  krémová 2,5;;Akzo Nobel Coatings CZ,as;5273641;8590627987324;;;;;;;;;;;;;;;
59;CZ;108652;Dulux Easy Care Piškotový  dort 2,5;;Akzo Nobel Coatings CZ,as;5273635;8590627987386;;;;;;;;;;;;;;;
60;CZ;108653;Dulux Easy Care Matný  pudr 2,5;;Akzo Nobel Coatings CZ,as;5273564;8590627987546;;;;;;;;;;;;;;;
61;CZ;108654;Dulux Easy Care Sladký  med 2,5;;Akzo Nobel Coatings CZ,as;5273560;8590627987577;;;;;;;;;;;;;;;
62;CZ;108655;Dulux Easy Care Sluneční  záře 2,5;;Akzo Nobel Coatings CZ,as;5273639;8590627987348;;;;;;;;;;;;;;;
63;CZ;108656;Dulux Easy Care Zlatá  medaile 2,5;;Akzo Nobel Coatings CZ,as;5273644;8590627987294;;;;;;;;;;;;;;;
64;CZ;108657;Dulux Easy Care Meruňkový  kompot 2,5;;Akzo Nobel Coatings CZ,as;5273549;8590627987652;;;;;;;;;;;;;;;
65;CZ;108658;Dulux Easy Care Mechanic.  pomeranč 2,5;;Akzo Nobel Coatings CZ,as;5273569;8590627987515;;;;;;;;;;;;;;;
66;CZ;108659;Dulux Easy Care Korálový  útes 2,5;;Akzo Nobel Coatings CZ,as;5273643;8590627987300;;;;;;;;;;;;;;;
67;CZ;108660;Dulux Easy Care Vodní  meloun 2,5;;Akzo Nobel Coatings CZ,as;5273579;8590627987454;;;;;;;;;;;;;;;
68;CZ;108661;Dulux Easy Care Červená  Karkulka 2,5;;Akzo Nobel Coatings CZ,as;5273550;8590627987645;;;;;;;;;;;;;;;
69;CZ;108662;Dulux Easy Care Růženka  2,5;;Akzo Nobel Coatings CZ,as;5273575;8590627987461;;;;;;;;;;;;;;;
70;CZ;108663;Dulux Easy Care Kytice  růží 2,5;;Akzo Nobel Coatings CZ,as;5273572;8590627987492;;;;;;;;;;;;;;;
71;CZ;108664;Dulux Easy Care Vůně vřesu  2,5;;Akzo Nobel Coatings CZ,as;5273561;8590627987560;;;;;;;;;;;;;;;
72;CZ;108665;Dulux Easy Care Šeřík  2,5;;Akzo Nobel Coatings CZ,as;5273642;8590627987317;;;;;;;;;;;;;;;
73;CZ;108666;Dulux Easy Care Záhon  fialek 2,5;;Akzo Nobel Coatings CZ,as;5273645;8590627987287;;;;;;;;;;;;;;;
74;CZ;108667;Dulux Easy Care Granátové  jablko 2,5;;Akzo Nobel Coatings CZ,as;5273554;8590627987614;;;;;;;;;;;;;;;
75;CZ;108668;Dulux Easy Care Průzračný  oceán 2,5;;Akzo Nobel Coatings CZ,as;5273582;8590627987430;;;;;;;;;;;;;;;
76;CZ;108669;Dulux Easy Care Nebeská  modř 2,5;;Akzo Nobel Coatings CZ,as;5273558;8590627987584;;;;;;;;;;;;;;;
77;CZ;108670;Dulux Easy Care Tyrkysová  2,5;;Akzo Nobel Coatings CZ,as;5273638;8590627987355;;;;;;;;;;;;;;;
78;CZ;108671;Dulux Easy Care Khaki  2,5;;Akzo Nobel Coatings CZ,as;5273542;8590627987706;;;;;;;;;;;;;;;
79;CZ;108672;Dulux Easy Care Pistáciový  oříšek 2,5;;Akzo Nobel Coatings CZ,as;5273571;8590627987508;;;;;;;;;;;;;;;
80;CZ;108673;Dulux Easy Care Kouzlo  přírody 2,5;;Akzo Nobel Coatings CZ,as;5273574;8590627987478;;;;;;;;;;;;;;;
81;CZ;109629;LX ORIG       Indický týk 5 l;;Akzo Nobel Coatings CZ,as;5273939;8590627987232;;;;;;;;;;;;;;;
82;CZ;121079;LUXOL DEKOR Skandináv. bílá 0,75;;Akzo Nobel Coatings CZ,as;5298090;8590627986501;;;;;;;;;;;;;;;
83;CZ;121080;LUXOL DEKOR Skandináv. bílá 2,5;;Akzo Nobel Coatings CZ,as;5298091;8590627986495;;;;;;;;;;;;;;;
84;CZ;121081;LUXOL DEKOR Santalové dřevo 0,75;;Akzo Nobel Coatings CZ,as;5298094;8590627986488;;;;;;;;;;;;;;;
85;CZ;121082;LUXOL DEKOR Santalové dřevo 2,5;;Akzo Nobel Coatings CZ,as;5298095;8590627986471;;;;;;;;;;;;;;;
86;CZ;121083;LUXOL DEKOR Květ višně 0,75;;Akzo Nobel Coatings CZ,as;5298096;8590627986464;;;;;;;;;;;;;;;
87;CZ;121084;LUXOL DEKOR Květ višně 2,5;;Akzo Nobel Coatings CZ,as;5298097;8590627986457;;;;;;;;;;;;;;;
88;CZ;121085;LUXOL DEKOR Máta  0,75;;Akzo Nobel Coatings CZ,as;5298098;8590627986440;;;;;;;;;;;;;;;
89;CZ;121086;LUXOL DEKOR Máta  2,5;;Akzo Nobel Coatings CZ,as;5298099;8590627986433;;;;;;;;;;;;;;;
90;CZ;121087;LUXOL DEKOR Pastelově modrá 0,75;;Akzo Nobel Coatings CZ,as;5298100;8590627986426;;;;;;;;;;;;;;;
91;CZ;121088;LUXOL DEKOR Pastelově modrá 2,5;;Akzo Nobel Coatings CZ,as;5298101;8590627986419;;;;;;;;;;;;;;;
92;CZ;121089;LUXOL DEKOR Tmavě šedá 0,75;;Akzo Nobel Coatings CZ,as;5298102;8590627986402;;;;;;;;;;;;;;;
93;CZ;121090;LUXOL DEKOR Tmavě šedá 2,5;;Akzo Nobel Coatings CZ,as;5298103;8590627986396;;;;;;;;;;;;;;;
94;CZ;121091;LUXOL DEKOR Rustikální dub 0,75;;Akzo Nobel Coatings CZ,as;5298104;8590627986389;;;;;;;;;;;;;;;
95;CZ;121092;LUXOL DEKOR Rustikální dub 2,5;;Akzo Nobel Coatings CZ,as;5298105;8590627986372;;;;;;;;;;;;;;;
96;CZ;121093;LUXOL DEKOR Pinie  0,75;;Akzo Nobel Coatings CZ,as;5298107;8590627986365;;;;;;;;;;;;;;;
97;CZ;121094;LUXOL DEKOR Pinie  2,5;;Akzo Nobel Coatings CZ,as;5298108;8590627986358;;;;;;;;;;;;;;;
98;CZ;121095;LUXOL DEKOR Týk  0,75;;Akzo Nobel Coatings CZ,as;5298109;8590627986341;;;;;;;;;;;;;;;
99;CZ;121096;LUXOL DEKOR Týk  2,5;;Akzo Nobel Coatings CZ,as;5298110;8590627986334;;;;;;;;;;;;;;;
100;CZ;121097;LUXOL DEKOR Palisandr  0,75;;Akzo Nobel Coatings CZ,as;5298111;8590627986327;;;;;;;;;;;;;;;
101;CZ;121098;LUXOL DEKOR Palisandr  2,5;;Akzo Nobel Coatings CZ,as;5298112;8590627986310;;;;;;;;;;;;;;;
102;CZ;121712;Luxol Originál indic.týk  0,75 l;;Akzo Nobel Coatings CZ,as;5273935;8590627987270;;;;;;;;;;;;;;;
103;CZ;121713;Luxol Originál indic.týk  2,5 l;;Akzo Nobel Coatings CZ,as;5273936;8590627987263;;;;;;;;;;;;;;;
104;CZ;215367;Vinyl matt PBW   5 l;;Akzo Nobel Coatings CZ,as;5149183;5010212561157;;;;;;;;;;;;;;;
105;CZ;215477;Vinyl matt PBW   2,5 l;;Akzo Nobel Coatings CZ,as;5149182;5010212561140;;;;;;;;;;;;;;;
106;CZ;336819;Xyladecor podlah.lak polyureta nový lesk 2,5 l;;Akzo Nobel Coatings CZ,as;5129465;4000729075521;;;;;;;;;;;;;;;
107;CZ;336820;Xyladecor podlah.lak polyureta nový lesk 5 l;;Akzo Nobel Coatings CZ,as;5129466;4000729075538;;;;;;;;;;;;;;;
108;CZ;336822;Xyladecor podlah.lak polyuretan polomatný 2,5 l;;Akzo Nobel Coatings CZ,as;5129462;4000729075552;;;;;;;;;;;;;;;
109;CZ;336823;Xyladecor podlah.lak polyuretan polomatný 5 l;;Akzo Nobel Coatings CZ,as;5129463;4000729075569;;;;;;;;;;;;;;;
110;CZ;336826;Xyladecor bezb. lak vodou řeď. polomatný 2,5 l;;Akzo Nobel Coatings CZ,as;5129429;4000729075613;;;;;;;;;;;;;;;
111;CZ;336827;Xyladecor bezb. lak vodouřed.  lesklý 2,5 l;;Akzo Nobel Coatings CZ,as;5129432;4000729075583;;;;;;;;;;;;;;;
112;CZ;336828;Xyladecor bezb. lak vodouřed. polomatný 5 l;;Akzo Nobel Coatings CZ,as;5129430;4000729075620;;;;;;;;;;;;;;;
113;CZ;336829;Xyladecor bezb. lak vodouřed. lesklý 5 l;;Akzo Nobel Coatings CZ,as;5129433;4000729075590;;;;;;;;;;;;;;;
114;CZ;358439;Hammerite kladívková černá  0,25 l;;Akzo Nobel Coatings CZ,as;5093273;5011867039695;;;;;;;;;;;;;;;
115;CZ;358440;Hammerite kladívková černá  2,5 l;;Akzo Nobel Coatings CZ,as;5093258;5011867039718;;;;;;;;;;;;;;;
116;CZ;358441;Hammerite kladívková střb.šedá  0,25 l;;Akzo Nobel Coatings CZ,as;5093588;5011867039756;;;;;;;;;;;;;;;
117;CZ;358442;Hammerite kladívková střb.šedá  2,5 l;;Akzo Nobel Coatings CZ,as;5093575;5011867039770;;;;;;;;;;;;;;;
118;CZ;358443;Hammerite kladívková tm.modrá  0,25 l;;Akzo Nobel Coatings CZ,as;5093384;5011867039787;;;;;;;;;;;;;;;
119;CZ;358444;Hammerite kladívková tm.modrá  2,5 l;;Akzo Nobel Coatings CZ,as;5093376;5011867039800;;;;;;;;;;;;;;;
120;CZ;358447;Hammerite kladívková hnědá  0,25 l;;Akzo Nobel Coatings CZ,as;5093322;5011867039930;;;;;;;;;;;;;;;
121;CZ;358448;Hammerite kladívková hnědá  2,5 l;;Akzo Nobel Coatings CZ,as;5094327;5011867039954;;;;;;;;;;;;;;;
122;CZ;358449;Hammerite kladívková šedá  0,25 l;;Akzo Nobel Coatings CZ,as;5093477;5011867039961;;;;;;;;;;;;;;;
123;CZ;358450;Hammerite kladívková šedá  2,5 l;;Akzo Nobel Coatings CZ,as;5093465;5011867039985;;;;;;;;;;;;;;;
124;CZ;358451;Hammerite kladívková zelená  0,25 l;;Akzo Nobel Coatings CZ,as;5093528;5011867040059;;;;;;;;;;;;;;;
125;CZ;358452;Hammerite kladívková zelená  2,5 l;;Akzo Nobel Coatings CZ,as;5093520;5011867040073;;;;;;;;;;;;;;;
126;CZ;358453;Hammerite hladká černá  0,25 l;;Akzo Nobel Coatings CZ,as;5093778;5011867040080;;;;;;;;;;;;;;;
127;CZ;358454;Hammerite hladká černá  2,5 l;;Akzo Nobel Coatings CZ,as;5093761;5011867040103;;;;;;;;;;;;;;;
128;CZ;358455;Hammerite hladká tm. zelená  0,25 l;;Akzo Nobel Coatings CZ,as;5093897;5011867040233;;;;;;;;;;;;;;;
129;CZ;358456;Hammerite hladká tm. zelená  2,5 l;;Akzo Nobel Coatings CZ,as;5093888;5011867040257;;;;;;;;;;;;;;;
130;CZ;358457;Hammerite hladká žlutá  0,25 l;;Akzo Nobel Coatings CZ,as;5094155;5011867040264;;;;;;;;;;;;;;;
131;CZ;358458;Hammerite hladká žlutá  2,5 l;;Akzo Nobel Coatings CZ,as;5094147;5011867040288;;;;;;;;;;;;;;;
132;CZ;358459;Hammerite hladká tm. hnědá  0,25 l;;Akzo Nobel Coatings CZ,as;5093866;5011867040325;;;;;;;;;;;;;;;
133;CZ;358460;Hammerite hladká tm. hnědá  2,5 l;;Akzo Nobel Coatings CZ,as;5093861;5011867040349;;;;;;;;;;;;;;;
134;CZ;358461;Hammerite hladká zelená  0,25 l;;Akzo Nobel Coatings CZ,as;5093936;5011867040356;;;;;;;;;;;;;;;
135;CZ;358462;Hammerite hladká zelená  2,5 l;;Akzo Nobel Coatings CZ,as;5093929;5011867040370;;;;;;;;;;;;;;;
136;CZ;358471;Hammerite hladká bílá  0,25 l;;Akzo Nobel Coatings CZ,as;5094118;5011867040110;;;;;;;;;;;;;;;
137;CZ;358472;Hammerite hladká bílá  2,5 l;;Akzo Nobel Coatings CZ,as;5094102;5011867040134;;;;;;;;;;;;;;;
138;CZ;358473;Hammerite hladká stříbrná  0,25 l;;Akzo Nobel Coatings CZ,as;5094049;5011867040141;;;;;;;;;;;;;;;
139;CZ;358474;Hammerite hladká stříbrná  2,5 l;;Akzo Nobel Coatings CZ,as;5094034;5011867040165;;;;;;;;;;;;;;;
140;CZ;358475;Hammerite hladká červená  0,25 l;;Akzo Nobel Coatings CZ,as;5093996;5011867040172;;;;;;;;;;;;;;;
141;CZ;358476;Hammerite hladká červená  2,5 l;;Akzo Nobel Coatings CZ,as;5093983;5011867040196;;;;;;;;;;;;;;;
142;CZ;358477;Hammerite hladká modrá  0,25 l;;Akzo Nobel Coatings CZ,as;5093819;5011867040202;;;;;;;;;;;;;;;
143;CZ;358478;Hammerite hladká modrá  2,5 l;;Akzo Nobel Coatings CZ,as;5093811;5011867040226;;;;;;;;;;;;;;;
144;CZ;358491;Hammerite kladívková černá  0,7 l;;Akzo Nobel Coatings CZ,as;5093279;5011867046624;;;;;;;;;;;;;;;
145;CZ;358492;Hammerite kladívková střb.šedá  0,7 l;;Akzo Nobel Coatings CZ,as;5093594;5011867046631;;;;;;;;;;;;;;;
146;CZ;358493;Hammerite kladívková tm.modrá  0,7 l;;Akzo Nobel Coatings CZ,as;5093388;5011867046648;;;;;;;;;;;;;;;
147;CZ;358495;Hammerite hladká červená  0,7 l;;Akzo Nobel Coatings CZ,as;5093999;5011867046778;;;;;;;;;;;;;;;
148;CZ;358496;Hammerite hladká modrá  0,7 l;;Akzo Nobel Coatings CZ,as;5093823;5011867046785;;;;;;;;;;;;;;;
149;CZ;358497;Hammerite hladká tm. zelená  0,7 l;;Akzo Nobel Coatings CZ,as;5093902;5011867046792;;;;;;;;;;;;;;;
150;CZ;358498;Hammerite hladká žlutá  0,7 l;;Akzo Nobel Coatings CZ,as;5094156;5011867046808;;;;;;;;;;;;;;;
151;CZ;358499;Hammerite hladká tm. hnědá  0,7 l;;Akzo Nobel Coatings CZ,as;5093870;5011867046822;;;;;;;;;;;;;;;
152;CZ;358500;Hammerite hladká zelená  0,7 l;;Akzo Nobel Coatings CZ,as;5093939;5011867046839;;;;;;;;;;;;;;;
153;CZ;358503;Hammerite kladívková tm.zelená  0,7 l;;Akzo Nobel Coatings CZ,as;5093424;5011867046662;;;;;;;;;;;;;;;
