COUNTRY,SORT_ART_NR,ART_NAME,URL,Supplier,Suppl. Product code,EAN
SVK,3541604,Prodlouž.                         1/2 x 15,,Guvex,141588,8590391141588
SVK,3541620,Prodlouž.  1/2 x 40                         ,,Guvex,141601,8590391141601
SVK,3541737,Redukce    FEMA                   3/4x1/2,,Guvex,141793,8590391141793
SVK,3541752,Zátka      1/2                              1/2,,Guvex,141816,8590391141816
SVK,3541844,Mosaz      T - kus                          3/4,,Guvex,141502,8590391141502
SVK,3541851,Mosaz      T - kus                          1,,Guvex,141519,8590391141519
SVK,3541869,Mosaz      Koleno                FF         1/2,,Guvex,141526,8590391141526
SVK,3541893,Mosaz      Koleno                MF         3/4,,Guvex,141557,8590391141557
SVK,3541943,Prodlouž.  3/4 x 50                         ,,Guvex,141687,8590391141687
SVK,3541968,Víčko      3/4                              ,,Guvex,141700,8590391141700
SVK,3542024,Chróm      T - kus    1/2                   1/2,,Guvex,141847,8590391141847
SVK,3542065,Chróm      Koleno     1/2 MF                1/2 MF,,Guvex,141885,8590391141885
SVK,3542131,Mosaz      T - kus               MMM        1/2,,Guvex,142240,8590391142240
SVK,3542321,Mosaz      Redukce                          1 x 1/2,,Guvex,143292,8590391143292
SVK,3542339,Prodlouž.  1/2 x 30                         ,,Guvex,143322,8590391143322
SVK,3542420,Ventil     kulový     odvodnění             1/2,,Guvex,142455,8590391142455
SVK,3542438,Ventil     kulový     odvodnění             3/4,,Guvex,142462,8590391142462
SVK,3542446,Ventil     kulový     odvodnění             1,,Guvex,142479,8590391142479
SVK,3542453,Ventil     kulový     MIGNON                3/8,,Guvex,142486,8590391142486
SVK,3542479,Ventil     kulový     MIGNON                1/2,,Guvex,142509,8590391142509
SVK,3542594,Vsuvka     1/2                              1/2,,Guvex,143230,8590391143230
SVK,3542784,Mosaz      Koleno                MM         1/2,,Guvex,145142,8590391145142
SVK,3542826,Spojka     hadicová   plast      JS20       3/4,,Guvex,31310120075,8590391160022
SVK,3543154,Mosaz      Šroubení   K vodom.   1/2 sada   ,,Guvex,206348,8590391206348
SVK,3543162,Mosaz      Šroubení   K vodom.   3/4  sada  ,,Guvex,206355,8590391206355
SVK,3543188,Koleno     PPR        90                    20 MF,,Guvex,206553,8590391206553
SVK,3543204,Spojka     PP                               25,,Guvex,206966,8590391206966
SVK,3543238,Spojka     PP         redukovaná            40 x 32,,Guvex,206997,8590391206997
SVK,3543246,Přechod    PP                               25 3/4 ZV,,Guvex,207000,8590391207000
SVK,3543261,Přechod    PP                               32x1 ZV,,Guvex,207024,8590391207024
SVK,3543295,Vodoměr    bytový     studená               1/2,,Guvex,208779,8590391208779
SVK,3543436,Koleno     90         PP                    20,,Guvex,212264,8590391212264
SVK,3543535,Koleno     90         PP                    25,,Guvex,206904,8590391206904
SVK,3543600,Přechod    PP                               32x1 ZD,,Guvex,207055,8590391207055
SVK,3543618,T-kus      PP                               25,,Guvex,207062,8590391207062
SVK,3543626,T-kus      PP                               32,,Guvex,207079,8590391207079
SVK,3543717,Mosaz      Redukce    FEMA                  1 x 3/4,,Guvex,211007,8590391211007
SVK,3543725,Trubka     PE         Navin                 20x10m,,Guvex,212677,8590391212677
SVK,3543915,Kohout     průběžný   KE 83T 1              ,,Guvex,213100,8590391213100
SVK,3544061,Hadičník   mosaz                            1x25,,Guvex,212875,8590391212875
SVK,3544376,Hadice     Flexi      Nerez       1/2x1/2x80,,Guvex,213773,8590391213773
SVK,3544426,Perlátor   vnější     Závit       2653 M28,,Guvex,213841,8590391213841
SVK,3544517,Ventil     PP         kulový                25x3/4 ZD,,Guvex,213971,8590391213971
SVK,3544632,Hadice     Flexi      Nerez       1/2x1/2x60,,Guvex,213711,8590391213711
SVK,3544640,Hadice     Flexi      Nerez       1/2x1/2x80,,Guvex,213728,8590391213728
SVK,3544673,Hadice     Flexi      Nerez       1/2x1/2x60,,Guvex,213759,8590391213759
SVK,3544715,Ventil     PP         kulový                1,,Guvex,214022,8590391214022
SVK,3549797,Sada       upevňovací na umyv.              10x120,,Guvex,120132,8590391120132
SVK,3600335,Ventil     odvzduš.   automat    svislý     3/8,,Guvex,13490202330,8590391140550
SVK,3600418,"Spojka     GEBO       QI                    24,5-27,3",,Guvex,210451,8590391210451
SVK,3600517,Rukojeť    studená    chrom      5SC        ,,Guvex,214572,8590391214572
SVK,4293932,Ventil  rohový SCHELL  s fitrem 1/2x3/8,,Guvex,24504049460,4021163105735
SVK,4385563,Mosaz      odbočka Y  Y-kus      Odbočka Y  3/4,,Guvex,225363,8590391225363
SVK,4385571,Mosaz      hadičník   s matkou              1/2 x 3/4,,Guvex,217603,8590391217603
SVK,4385589,Tuk na     armatury   GLISSA                60 gr.,,Guvex,225394,8590391225394
SVK,4385597,Mosaz      hadičník   s matkou              3/4 x 3/4,,Guvex,217610,8590391217610
SVK,4406476,Ventil     zahradní   SCHELL     mat.chrom  1/2,,Guvex,24504034050,4021163102307
SVK,5075668,Prodlouž.             chrom                 1/2x80,,Guvex,12306050080,8590391228838
SVK,5075676,Prodlouž.             chrom                 1/2x100,,Guvex,12306050100,8590391228821
SVK,5075684,Prodlouž.             chrom                 1/2x60,,Guvex,12306050060,8590391228814
SVK,5075700,Kuželka    keramická  pravá                 ,,Guvex,24142100610,8590391235003
SVK,5075726,Ventil     pisoárový  časový     TE 855     1/2,,Guvex,24408010855,8590391211298
SVK,5075734,Kuželka    keramická  levá                  ,,Guvex,24142100620,8590391235010
SVK,5075809,Hadice     Flexi      nerez      60cm       F3/8xM3/8,,Guvex,13601190060,8590391219751
SVK,5075833,Hadice     Flexi      průmyslová 50cm       F1xF1,,Guvex,13651550050,8590391235102
SVK,5075841,Hadice     Flexi      průmyslová 30cm       F3/4xM3/4,,Guvex,13651470030,8590391235140
SVK,5075858,Hadice     Flexi      k baterii  30cm       F3/8xM10,,Guvex,13602210030,8590391216651
SVK,5075882,Hadice     Flexi      průmyslová 30cm       F1xM1,,Guvex,13651570030,8590391235126
SVK,5075924,Hadice     Flexi      průmyslová 30cm       F3/4xF3/4,,Guvex,13651450030,8590391235195
SVK,5075965,Hadice     Flexi      nerez      80cm       F3/8xM3/8,,Guvex,13601190080,8590391219591
SVK,5075981,Hadice     Flexi      nerez      100cm      F3/8xM3/8,,Guvex,13601190100,8590391219607
SVK,5076005,Hadice     Flexi      nerez      100cm      F1/2xM1/2,,Guvex,13601350100,8590391224694
SVK,5076013,Hadice     Flexi      nerez      100cm      F3/8xF3/8,,Guvex,13601170100,8590391216323
SVK,5076021,Hadice     Flexi      nerez      100cm      F1/2xF1/2,,Guvex,13601330100,8590391213698
