;COUNTRY;SORT_ART_NR;ART_NAME;URL;Supplier;Suppl. Product code;EAN;COMPETITOR;SKU_ID;SORT_EAN_NR;ART_NAME;PACKAGE_PRICE;UNIT_PRICE;PROMO_PRICE;QTY_FACTOR_PACKAGE_PRICE;URL;MATCH_TYPE_FLAG;QLTY_FACTOR_PACKAGE_PRICE;MATCH_SOURCE;MATCH_OWNER;CRAWLING_TIMESTAMP;COMMENTS
174;CZ;3539111;Objímka    dvoušroub.                       72-78;;Guvex;101117;8590391101117;Hornbach;4202764;;Dvoušroubový úchyt 72 - 78 mm;39;39;;1;;1;;;;;
176;CZ;3539186;Hadice     Flexi      Nerez       1/2x1/2x40;;Guvex;102411;8590391102411;Hornbach;4298198;;"Flexibilní hadice M1/2""xM1/2"" 40 cm nerez";47;47;;1;;5;;;;;
178;CZ;3539210;Hadice     pračková   napušťov.   1m;;Guvex;102718;8590391102718;Hornbach;4202886;;Přívodní hadice k pračce 100 cm;44;44;;1;;1;;;;;
180;CZ;3539269;Hadice     pračková   napušťov.   3,5m;;Guvex;102763;8590391102763;Hornbach;4202895;;Přívodní hadice k pračce 350cm;95;95;;1;;1;;;;;
182;CZ;3539319;Hadice     pračková   vypušťov.   3m B;;Guvex;102893;8590391102893;Hornbach;4202917;;Odpadní hadice k pračce 300 cm koncovka rohová;88;88;;1;;1;;;;;
184;CZ;3540085;Vršek      baterie                          3/8;;Guvex;110508;8590391110508;Hornbach;4203100;;"Vršek baterie T-12P/I-3/8""";43;43;;1;;3;;;;;
186;CZ;3540143;Perlátor   vnitřní    Závit       2653 F24;;Guvex;110683;8590391110683;Hornbach;8173972;;Perlátor F22;29;29;;1;;1;;;;;
188;CZ;3540242;Kohout     průběžný   KE 83T                1/2;;Guvex;110058;8590391110058;Hornbach;4203060;;"Průběžný kohout KE-83T 1/2""";179;179;;1;;1;;;;;
190;CZ;3540275;Mosaz      Prodlouž.                        3/4 x 30;;Guvex;110171;8590391110171;Hornbach;5053889;;"Prodloužení 3/4""x30 mm mosaz";54;54;;1;;4;;;;;
192;CZ;3540499;Spona      nerez                            10 - 16 mm;;Guvex;120040;8590391120040;Hornbach;4243227;;Hadicová spona 10 - 16 mm nerez, balení 2 ks;29;29;;0.5;;2;;;;;
194;CZ;3540507;Spona      nerez                            12 - 20 mm;;Guvex;120057;8590391120057;Hornbach;7356032;;Spona se šnekovitým závitem 12-20 mm, chrom, ocel;16;16;;1;;4;;;;;
196;CZ;3540523;Spona      nerez                            20 - 32 mm;;Guvex;120071;8590391120071;Hornbach;4243230;;Hadicová spona 20 - 32 mm nerez, balení 2 ks;33;33;;0.5;;2;;;;;
198;CZ;3540531;Spona      nerez                            25 - 40 mm;;Guvex;120088;8590391120088;Hornbach;4243231;;Hadicová spona 25 - 40 mm nerez, balení 2 ks;36;36;;0.5;;2;;;;;
200;CZ;3540549;Spona      nerez                            32 - 50 mm;;Guvex;120095;8590391120095;Hornbach;4243232;;Hadicová spona 32 - 50 mm nerez;20;20;;1;;2;;;;;
202;CZ;3540812;Spona      nerez                            50 - 70 mm;;Guvex;120101;8590391120101;Hornbach;7356037;;Spona se šnekovitým závitem 50-70 mm, chrom, ocel;23;23;;1;;4;;;;;
204;CZ;3540879;Hadice     Plast      K WC        3/8x1/2x50;;Guvex;120217;8590391120217;Hornbach;;;;;;;;;;;;;;
206;CZ;3541018;Spojka     Plast. Y   3/4x3/4;;Guvex;140673;8590391140673;Hornbach;1620708;;"Spojka Y-kus Gardena pro přechod hadice 19 mm (3/4"") na hadici 13 mm (1/2"")";115;115;;1;;3;;;;;
208;CZ;3541059;Prodlouž.                         1/2 x 10;;Guvex;140871;8590391140871;Hornbach;8233121;;"Prodloužení chrom 1/2""x10mm";19;19;;1;;1;;;;;
210;CZ;3541067;Prodlouž.                         1/2 x 20;;Guvex;140888;8590391140888;Hornbach;7154566;;"Prodloužení 1/2""x20 mm chrom";39;39;;1;;2;;;;;
212;CZ;3541075;Mosaz      Vsuvka     Reduk.                1/2x3/8;;Guvex;140901;8590391140901;Hornbach;5240291;;"Dvojnipl redukovaný 1/2""x3/8"" mosaz";22;22;;1;;2;;;;;
214;CZ;3541083;Mosaz      Vsuvka     Reduk.                3/4x3/8;;Guvex;140918;8590391140918;Hornbach;5240292;;"Dvojnipl redukovaný 3/4""x3/8"" mosaz";35;35;;1;;2;;;;;
216;CZ;3541109;Mosaz      Vsuvka                           3/8;;Guvex;140932;8590391140932;Hornbach;5240249;;"Dvojnipl 3/8""x3/8"" mosaz";16.5;16.5;;1;;2;;;;;
218;CZ;3541166;Odbočka Y                         1/2x1/2;;Guvex;141076;8590391141076;Hornbach;5053871;;"Odbočka ""Y"" mosaz chrom MMŠ 1/2""";115;115;;1;;2;;;;;
220;CZ;3541208;Mosaz      Nátrubek                         1/2;;Guvex;141342;8590391141342;Hornbach;;;;;;;;;;;;;;
222;CZ;3541216;Mosaz      Nátrubek                         3/4;;Guvex;141359;8590391141359;Hornbach;3821059;;"Nátrubek mosaz vnitřní závit 3/4""""";89;89;;1;;3;;;;;
224;CZ;3541224;Mosaz      Nátrubek                         1;;Guvex;141366;8590391141366;Hornbach;3631570;;"Nátrubek vnitřní závit 1""";129;129;;1;;3;;;;;
226;CZ;3541240;Mosaz      Nátrubek   Reduk.                3/4x1/2;;Guvex;141380;8590391141380;Hornbach;;;;;;;;;;;;;;
228;CZ;3541273;Mosaz      Redukce                          1 x 3/4;;Guvex;141410;8590391141410;Hornbach;5240306;;"Redukce 6hran vnější-vnitřní závit 1""x3/4"" mosaz";65;65;;1;;3;;;;;
230;CZ;3541281;Spojka     PE         mosaz      potrubí     1x32;;Guvex;140703;8590391140703;Hornbach;4203274;;"Spojka PE potrubí 32xF1""";169;169;;1;;1;;;;;
232;CZ;3541315;Spojka     PE         mosaz      potrubí    1x32;;Guvex;140734;8590391140734;Hornbach;8281715;;"Spojka PE potrubí 32xM1""";229;229;;1;;1;;;;;
